writer_id,genuine_count,forged_count,total
1502,12,16,28
1503,12,16,28
1504,12,16,28
1505,12,16,28
1506,12,16,28
1507,12,16,28
1508,12,16,28
1509,12,16,28
1510,12,16,28
1511,12,16,28
1512,12,16,28
1513,12,16,28
1514,12,16,28
1515,12,16,28
1516,12,16,28
1517,12,16,28
1518,12,16,28
1519,12,16,28
1520,12,16,28
1521,12,16,28
1522,12,16,28
1523,12,16,28
1524,12,16,28
1525,12,16,28
1526,12,16,28
1527,12,16,28
1528,12,16,28
1529,12,16,28
1530,12,16,28
1531,12,16,28
1532,12,16,28
1533,12,16,28
1534,12,16,28
1535,12,16,28
1536,12,16,28
1537,12,16,28
1538,12,16,28
1539,12,16,28
1540,12,16,28
1541,12,16,28
1542,12,16,28
1543,12,16,28
1544,12,16,28
1545,12,16,28
1546,12,16,28
1547,12,16,28
1548,12,16,28
1549,12,16,28
1550,12,16,28
1551,12,16,28
1552,12,16,28
1553,12,16,28
1554,12,16,28
1555,12,16,28
1556,12,16,28
1557,12,16,28
1558,12,16,28
1559,12,16,28
1560,12,16,28
1561,12,16,28
1562,12,16,28
1563,12,16,28
1564,12,16,28
1565,12,16,28
1566,12,16,28
1567,12,16,28
1568,12,16,28
1569,12,16,28
1570,12,16,28
1571,12,16,28
1572,12,16,28
1573,12,16,28
1574,12,16,28
1575,12,16,28
1576,12,16,28
1577,12,16,28
1578,12,16,28
1579,12,16,28
1580,12,16,28
1581,12,16,28
1582,12,16,28
1583,12,16,28
1584,12,16,28
1585,12,16,28
1586,12,16,28
1587,12,16,28
1588,12,16,28
1589,12,16,28
1590,12,16,28
1591,12,16,28
1592,12,16,28
1593,12,16,28
1594,12,16,28
1595,12,16,28
1596,12,16,28
1597,12,16,28
1598,12,16,28
1599,12,16,28
1600,12,16,28
1601,12,16,28
1602,12,16,28
1603,12,16,28
1604,12,16,28
1605,12,16,28
1606,12,16,28
1607,12,16,28
1608,12,16,28
1609,12,16,28
1610,12,16,28
1611,12,16,28
1612,12,16,28
1613,12,16,28
1614,12,16,28
1615,12,16,28
1616,12,16,28
1617,12,16,28
1618,12,16,28
1619,12,16,28
1620,12,16,28
1621,12,16,28
1622,12,16,28
1623,12,16,28
1624,12,16,28
1625,12,16,28
1626,12,16,28
1627,12,16,28
1628,12,16,28
1629,12,16,28
1630,12,16,28
1631,12,16,28
1632,12,16,28
1633,12,16,28
1634,12,16,28
1635,12,16,28
1636,12,16,28
1637,12,16,28
1638,12,16,28
1639,12,16,28
1640,12,16,28
1641,12,16,28
1642,12,16,28
1643,12,16,28
1644,12,16,28
1645,12,16,28
1646,12,16,28
1647,12,16,28
1648,12,16,28
1649,12,16,28
1650,12,16,28
1651,12,16,28
1652,12,16,28
1653,12,16,28
1654,12,16,28
1655,12,16,28
1656,12,16,28
1657,12,16,28
1658,12,16,28
1659,12,16,28
1660,12,16,28
